sensorID,dataFormat,rssi,humidity,temperature,pressure,accelerationX,accelerationY,accelerationZ,battery,dateTime
df7260547217,3,-41,39.5,28.1,98743,11,12,1000,2959,27/11/2019 01:35:49
df7260547217,3,-44,39,27.9,98744,14,14,1003,2959,27/11/2019 01:36:19
df7260547217,3,-41,39,27.69,98738,11,17,1008,2953,27/11/2019 01:36:49
df7260547217,3,-53,39,27.51,98738,9,13,1004,2959,27/11/2019 01:37:19
df7260547217,3,-43,39.5,27.34,98735,15,14,1006,2947,27/11/2019 01:37:49
df7260547217,3,-44,39.5,27.17,98738,9,11,1003,2947,27/11/2019 01:38:19
df7260547217,3,-59,39.5,27,98765,17,-25,1006,2953,27/11/2019 01:38:49
df7260547217,3,-46,40,26.62,98741,15,-26,1014,2959,27/11/2019 01:39:19
df7260547217,3,-46,40,26.19,98738,17,-26,1009,2953,27/11/2019 01:39:49
df7260547217,3,-47,40.5,25.83,98737,14,-24,1013,2947,27/11/2019 01:40:19
df7260547217,3,-46,41,25.56,98734,15,-25,1008,2947,27/11/2019 01:40:49
df7260547217,3,-63,41,25.29,98734,18,-24,1012,2959,27/11/2019 01:41:19
df7260547217,3,-53,41.5,25.08,98734,15,-27,1012,2959,27/11/2019 01:41:49
df7260547217,3,-45,41.5,24.9,98733,17,-24,1010,2953,27/11/2019 01:42:19
df7260547217,3,-53,42,24.74,98731,12,-25,1010,2953,27/11/2019 01:42:49
df7260547217,3,-53,42,24.6,98731,14,-25,1007,2959,27/11/2019 01:43:19
df7260547217,3,-57,42,24.48,98732,15,-26,1009,2959,27/11/2019 01:43:49
df7260547217,3,-54,42,24.37,98732,16,-30,1006,2953,27/11/2019 01:44:19
df7260547217,3,-45,42.5,24.27,98730,17,-33,1010,2959,27/11/2019 01:44:49
df7260547217,3,-46,42.5,24.18,98729,19,-21,1008,2953,27/11/2019 01:45:19
df7260547217,3,-55,42.5,24.1,98728,13,-28,1011,2947,27/11/2019 01:45:49
df7260547217,3,-46,42.5,24.02,98724,9,-24,1009,2947,27/11/2019 01:46:19
df7260547217,3,-64,42.5,23.96,98725,12,-25,1010,2953,27/11/2019 01:46:49
df7260547217,3,-64,43,23.89,98726,11,-25,1011,2953,27/11/2019 01:47:19
df7260547217,3,-46,43,23.83,98725,12,-26,1008,2947,27/11/2019 01:47:49
df7260547217,3,-64,43,23.76,98723,18,-25,1008,2947,27/11/2019 01:48:19
df7260547217,3,-64,43,23.71,98721,14,-27,1012,2947,27/11/2019 01:48:49
df7260547217,3,-55,43,23.65,98722,13,-24,1011,2953,27/11/2019 01:49:19
df7260547217,3,-65,43,23.61,98722,14,-23,1011,2947,27/11/2019 01:49:49
df7260547217,3,-46,43.5,23.57,98720,14,-28,1009,2953,27/11/2019 01:50:19
df7260547217,3,-51,44,23.56,98718,13,-23,1013,2947,27/11/2019 01:50:49
df7260547217,3,-52,57,23.61,99049,-193,277,914,2947,27/11/2019 01:51:19
df7260547217,3,-51,50.5,23.86,98768,18,-26,1008,2953,27/11/2019 01:51:49
df7260547217,3,-52,48.5,23.97,98723,16,-26,1009,2947,27/11/2019 01:52:19
df7260547217,3,-52,47.5,23.92,98715,16,-27,1010,2953,27/11/2019 01:52:49
df7260547217,3,-52,47,23.8,98716,17,-25,1013,2953,27/11/2019 01:53:19
df7260547217,3,-54,46.5,23.67,98716,16,-32,1010,2953,27/11/2019 01:53:49
df7260547217,3,-52,46.5,23.56,98716,23,-28,1005,2953,27/11/2019 01:54:19
df7260547217,3,-52,46,23.45,98716,17,-30,1007,2953,27/11/2019 01:54:49
df7260547217,3,-52,46,23.36,98714,17,-28,1009,2959,27/11/2019 01:55:19
df7260547217,3,-52,46,23.27,98714,17,-29,1008,2953,27/11/2019 01:55:49
df7260547217,3,-52,46,23.19,98711,15,-26,1012,2953,27/11/2019 01:56:19
df7260547217,3,-45,63,15.84,99242,313,-469,846,2947,28/11/2019 04:06:05
df7260547217,3,-39,63,15.84,99244,304,-468,853,2953,28/11/2019 04:06:35
df7260547217,3,-43,63,15.83,99245,307,-465,852,2947,28/11/2019 04:07:05
df7260547217,3,-41,63,15.82,99246,307,-465,852,2953,28/11/2019 04:07:35
df7260547217,3,-42,63,15.82,99246,319,-465,847,2947,28/11/2019 04:08:05
df7260547217,3,-41,63,15.81,99243,304,-460,854,2941,28/11/2019 04:08:35
df7260547217,3,-39,63,15.81,99243,298,-458,859,2947,28/11/2019 04:09:05
df7260547217,3,-53,65,15.54,99425,443,81,-878,2941,28/11/2019 06:02:02
df7260547217,3,-44,65,15.54,99427,447,83,-877,2947,28/11/2019 06:02:32
df7260547217,3,-44,65,15.54,99428,448,78,-883,2947,28/11/2019 06:03:02
df7260547217,3,-44,65,15.54,99428,444,80,-872,2947,28/11/2019 06:03:32
df7260547217,3,-51,65,15.54,99429,443,80,-878,2959,28/11/2019 06:04:02
df7260547217,3,-44,65,15.55,99430,450,80,-879,2947,28/11/2019 06:04:32
df7260547217,3,-47,65,15.54,99434,441,80,-876,2941,28/11/2019 06:05:02
df7260547217,3,-50,65,15.55,99433,443,81,-879,2953,28/11/2019 06:05:32
df7260547217,3,-46,65,15.55,99430,443,78,-877,2947,28/11/2019 06:06:02
df7260547217,3,-55,54,14.57,102746,257,390,-852,2941,02/12/2019 04:39:36
df7260547217,3,-54,52,21.06,102339,-393,-386,839,2953,03/12/2019 12:23:09
df7260547217,3,-53,52,21.07,102337,-396,-384,838,2941,03/12/2019 12:23:39
df7260547217,3,-54,52,21.07,102339,-393,-380,839,2935,03/12/2019 12:24:09
df7260547217,3,-67,51.5,21.08,102339,-393,-378,841,2941,03/12/2019 12:24:39
df7260547217,3,-55,51.5,21.08,102342,-395,-382,837,2947,03/12/2019 12:25:09
df7260547217,3,-56,51.5,21.09,102343,-393,-383,833,2947,03/12/2019 12:25:39
df7260547217,3,-54,51.5,21.09,102337,-394,-381,838,2947,03/12/2019 12:26:09
df7260547217,3,-62,51.5,21.1,102342,-396,-382,841,2953,03/12/2019 12:26:39
df7260547217,3,-64,51.5,21.11,102337,-393,-384,842,2935,03/12/2019 12:27:09
df7260547217,3,-54,51.5,21.12,102334,-396,-380,839,2953,03/12/2019 12:27:39
df7260547217,3,-53,51.5,21.12,102334,-394,-381,839,2953,03/12/2019 12:28:09
df7260547217,3,-53,51.5,21.13,102331,-397,-384,842,2947,03/12/2019 12:28:39
df7260547217,3,-41,39.5,28.1,98743,11,12,1000,2959,27/11/2019 01:35:49
df7260547217,3,-44,39,27.9,98744,14,14,1003,2959,27/11/2019 01:36:19
df7260547217,3,-41,39,27.69,98738,11,17,1008,2953,27/11/2019 01:36:49
df7260547217,3,-53,39,27.51,98738,9,13,1004,2959,27/11/2019 01:37:19
df7260547217,3,-43,39.5,27.34,98735,15,14,1006,2947,27/11/2019 01:37:49
df7260547217,3,-44,39.5,27.17,98738,9,11,1003,2947,27/11/2019 01:38:19
df7260547217,3,-59,39.5,27,98765,17,-25,1006,2953,27/11/2019 01:38:49
df7260547217,3,-46,40,26.62,98741,15,-26,1014,2959,27/11/2019 01:39:19
,,,,,,,,,,07/01/2020 01:17:37
df7260547217,3,-60,51.5,21.03,102123,29,-199,-955,2935,07/01/2020 13:20:11
df7260547217,3,-60,51.5,21.03,102123,29,-199,-955,2935,07/01/2020 13:21:00
df7260547217,3,-65,51.5,21.04,102117,28,-198,-955,2935,07/01/2020 13:21:30
